station_id,mean_proba,max_proba,n_points
CH01,0.05274481736097622,0.6791036659127505,49
CH02,0.04985411180110629,0.634512821246796,49
CH03,0.1517044959081551,0.7601699435823568,49
CO01,0.19911999410223488,0.6576652965896547,49
CO02,0.31724868207180096,0.7547858023961647,49
CO03,0.2124559012440874,0.7703426033106191,49
CO04,0.3568742422767114,0.7764212900535887,49
CO05,0.08829328787540167,0.5928217331318231,49
DH01,0.30283391057042836,0.7679379264551603,49
GA01,0.16601664204654965,0.712525342122743,49
GA02,0.26915668500404943,0.7793083324302095,49
GA03,0.18218872249624052,0.7185002624727617,49
GA04,0.21510957325543437,0.6610976821452893,49
GO01,0.299404451169236,0.778048724359942,49
GO02,0.39705314484886123,0.6777146959511293,49
KU01,0.33592473069898676,0.8376869039455656,49
KU02,0.3333634618384254,0.8565820456625174,49
ME01,0.07496053591355474,0.5819106162163633,49
ME02,0.27954572346938733,0.7647984187496233,49
ME03,0.15333539115709102,0.6924196709005084,49
NM01,0.2906532113151094,0.8565931508935543,49
OB01,0.3043147879150627,0.800730992496495,49
SW17,0.25790185960409195,0.7464556180481353,49
SW174,0.3267521211724975,0.8519248786677298,49
SW267,0.3799007900158225,0.7857866645046803,49
SW90,0.26958264873912885,0.7231523346642659,49
SW93,0.32640465793448326,0.7593894725889968,49
SW99,0.1788381843935822,0.7363495039792006,49
TE01,0.35651937597373806,0.777675459104298,49
TE02,0.33913362973393785,0.7600578073642785,49
